code,product_name,origins,image_url
3760203097326,Patates douces de Provence,France,https://images.openfoodfacts.org/images/products/376/020/309/7326/front_fr.4.400.jpg
0033383666006,Carrotes Coupées,Canada,https://images.openfoodfacts.org/images/products/003/338/366/6006/front_en.21.400.jpg
0059749899536,Spinach,Canada,https://images.openfoodfacts.org/images/products/005/974/989/9536/front_fr.16.400.jpg
3700813000040,Carottes jeunes pousses,France,https://images.openfoodfacts.org/images/products/370/081/300/0040/front_fr.4.400.jpg
3760198970109,Poires Guyot,France,https://images.openfoodfacts.org/images/products/376/019/897/0109/front_fr.16.400.jpg
3760120710032,Champignons de Paris frais,France,https://images.openfoodfacts.org/images/products/376/012/071/0032/front_fr.5.400.jpg
3662739049834,Pommes Gala,Chili,https://images.openfoodfacts.org/images/products/366/273/904/9834/front_fr.4.400.jpg
3385630017589,Myrtilles,Chili,https://images.openfoodfacts.org/images/products/338/563/001/7589/front_fr.34.400.jpg
3661141070559,Kiwi,Chili,https://images.openfoodfacts.org/images/products/366/114/107/0559/front_fr.4.400.jpg
8717496042477,Myrtilles,Chili,https://images.openfoodfacts.org/images/products/871/749/604/2477/front_fr.5.400.jpg
3760198580124,Pommes,Chili,https://images.openfoodfacts.org/images/products/376/019/858/0124/front_fr.11.400.jpg
8437014025194,Myrtilles,Chili,https://images.openfoodfacts.org/images/products/843/701/402/5194/front_fr.15.400.jpg
3700356703088,Kiwi Hayward,Chili,https://images.openfoodfacts.org/images/products/370/035/670/3088/front_fr.4.400.jpg
3276558424026,Poires,Chili,https://images.openfoodfacts.org/images/products/327/655/842/4026/front_fr.4.400.jpg
3664641002419,Kiwi origine Chili,Chili,https://images.openfoodfacts.org/images/products/366/464/100/2419/front_fr.4.400.jpg
8710147805186,Kiwi,Chili,https://images.openfoodfacts.org/images/products/871/014/780/5186/front_fr.4.400.jpg
3760074472727,Pomme bicolore,Chili,https://images.openfoodfacts.org/images/products/376/007/447/2727/front_fr.11.400.jpg
3564707141284,Kiwi,Chili,https://images.openfoodfacts.org/images/products/356/470/714/1284/front_fr.23.400.jpg
3760003171981,Cerises,Chili,https://images.openfoodfacts.org/images/products/376/000/317/1981/front_fr.4.400.jpg
3564707083638,Kiwis,Chili,https://images.openfoodfacts.org/images/products/356/470/708/3638/front_fr.32.400.jpg
3760177747760,Ail Semoule,Chine,https://images.openfoodfacts.org/images/products/376/017/774/7760/front_fr.5.400.jpg
3661030120198,citron non traités,Afrique du Sud,https://images.openfoodfacts.org/images/products/366/103/012/0198/front_fr.3.400.jpg
3000048047651,Champignons de Paris,France,https://images.openfoodfacts.org/images/products/300/004/804/7651/front_fr.21.400.jpg
3523680246393,Clémentine de Corse,France,https://images.openfoodfacts.org/images/products/352/368/024/6393/front_fr.3.400.jpg
26063775,Clémentine de Corse,France,https://images.openfoodfacts.org/images/products/26063775/front_fr.12.400.jpg
3760139228306,Clémentine de Corse,France,https://images.openfoodfacts.org/images/products/376/013/922/8306/front_fr.4.400.jpg
20696948,Pomelo de corse,France,https://images.openfoodfacts.org/images/products/20696948/front_fr.16.400.jpg
3250391993338,Clémentines de Corse,France,https://images.openfoodfacts.org/images/products/325/039/199/3338/front_fr.3.400.jpg
3770000906110,Clémentine de Corse,France,https://images.openfoodfacts.org/images/products/377/000/090/6110/front_fr.4.400.jpg
3276559736067,Pomelo de Corse bio,France,https://images.openfoodfacts.org/images/products/327/655/973/6067/front_fr.4.400.jpg
7613269968139,Ananas,Costa Rica,https://images.openfoodfacts.org/images/products/761/326/996/8139/front_fr.22.400.jpg
5099400011001,Ananas,Costa Rica,https://images.openfoodfacts.org/images/products/509/940/001/1001/front_fr.16.400.jpg
3760006271220,Carottes,France,https://images.openfoodfacts.org/images/products/376/000/627/1220/front_fr.5.400.jpg
3350030218706,Clémentines bio Monoprix,Espagne,https://images.openfoodfacts.org/images/products/335/003/021/8706/front_fr.17.400.jpg
3450970061537,Filet de tomate 1 k,Espagne,https://images.openfoodfacts.org/images/products/345/097/006/1537/front_fr.27.400.jpg
3450971457834,Fraises,Espagne,https://images.openfoodfacts.org/images/products/345/097/145/7834/front_fr.11.400.jpg
8428775033320,Clementines,Espagne,https://images.openfoodfacts.org/images/products/842/877/503/3320/front_fr.6.400.jpg
8429568000192,Tomate cerise bio,Espagne,https://images.openfoodfacts.org/images/products/842/956/800/0192/front_fr.4.400.jpg
3350030218171,Pêches blanches plates,Espagne,https://images.openfoodfacts.org/images/products/335/003/021/8171/front_fr.4.400.jpg
3361310423505,Tomates cerises allongées bio Cat. II,Espagne,https://images.openfoodfacts.org/images/products/336/131/042/3505/front_fr.3.400.jpg
4000007020687,Framboises,Espagne,https://images.openfoodfacts.org/images/products/400/000/702/0687/front_fr.26.400.jpg
8429259328093,Comcombre,Espagne,https://images.openfoodfacts.org/images/products/842/925/932/8093/front_fr.9.400.jpg
4000007050523,Salade,Espagne,https://images.openfoodfacts.org/images/products/400/000/705/0523/front_fr.19.400.jpg
3354270001500,Cresson de Fontaine,Espagne,https://images.openfoodfacts.org/images/products/335/427/000/1500/front_fr.3.400.jpg
