lien du produit,Nom,Image,Origine,Prix,Prix à l'unité,Poids
https://www.carrefour.fr/p/brocoli-3276550201960?t=1892, Brocoli ,https://media.carrefour.fr/medias/6605ad93930233cc99c88932c519cdf6/p_200x200/3523680430952-photosite-20190830-142649-0.jpg, ORIGINE C.E.E. ," 1,59 ", 3.53 € / KG ,
https://www.carrefour.fr/p/brocoli-bio-carrefour-bio-3276550311973?t=1892, Brocoli Bio CARREFOUR  BIO ,https://media.carrefour.fr/medias/6605ad93930233cc99c88932c519cdf6/p_200x200/3523680430952-photosite-20190830-142649-0.jpg, FRANCE ," 2,99 ", 2.99 € / U ,
https://www.carrefour.fr/p/brocoli-3276559825549?t=1892, Brocoli ,https://media.carrefour.fr/medias/6605ad93930233cc99c88932c519cdf6/p_200x200/3523680430952-photosite-20190830-142649-0.jpg, ESPAGNE ," 1,29 ", 1.29 € / U ,
https://www.carrefour.fr/p/brocoli-carrefour-3523680490222?t=1892, Brocoli CARREFOUR ,https://media.carrefour.fr/medias/6605ad93930233cc99c88932c519cdf6/p_200x200/3523680430952-photosite-20190830-142649-0.jpg, origine UE et Hors U.E. ," 1,49 ", 1.49 € / U ,
https://www.carrefour.fr/p/brocoli-bio-3270190010067?t=1892, Brocoli bio ,https://media.carrefour.fr/medias/6605ad93930233cc99c88932c519cdf6/p_200x200/3523680430952-photosite-20190830-142649-0.jpg, FRANCE ," 3,29 ", 3.29 € / U ,
https://www.carrefour.fr/p/brocoli-bio-3276550291985?t=1892, Brocoli Bio ,https://media.carrefour.fr/medias/6605ad93930233cc99c88932c519cdf6/p_200x200/3523680430952-photosite-20190830-142649-0.jpg, ESPAGNE ," 1,99 ", 1.99 € / U ,
,,https://media.carrefour.fr/medias/6605ad93930233cc99c88932c519cdf6/p_200x200/3523680430952-photosite-20190830-142649-0.jpg,,,,
,,https://media.carrefour.fr/medias/6605ad93930233cc99c88932c519cdf6/p_200x200/3523680430952-photosite-20190830-142649-0.jpg,,,,
https://www.carrefour.fr/p/avocat-bio-carrefour-bio-3523680466173?t=1892, Avocat Bio CARREFOUR BIO ,https://media.carrefour.fr/medias/6605ad93930233cc99c88932c519cdf6/p_200x200/3523680430952-photosite-20190830-142649-0.jpg, ESPAGNE ," 1,69 ", 1.69 € / U ,
https://www.carrefour.fr/p/avocat-hass-bio-3523680432437?t=1892, Avocat Hass Bio ,https://media.carrefour.fr/medias/6605ad93930233cc99c88932c519cdf6/p_200x200/3523680430952-photosite-20190830-142649-0.jpg, ESPAGNE ," 1,69 ", 1.69 € / U ,
https://www.carrefour.fr/p/avocat-hass-bio-3523680436213?t=1892, Avocat Hass Bio ,https://media.carrefour.fr/medias/6605ad93930233cc99c88932c519cdf6/p_200x200/3523680430952-photosite-20190830-142649-0.jpg, KENYA ," 1,59 ", 1.59 € / U ,
https://www.carrefour.fr/p/asperges-moyennes-violettes-vrac-3000000037171?t=1892, Asperges moyennes violettes vrac ,https://media.carrefour.fr/medias/6605ad93930233cc99c88932c519cdf6/p_200x200/3523680430952-photosite-20190830-142649-0.jpg, FRANCE ," 15,99 ", 15.99 € / KG ,
https://www.carrefour.fr/p/asperges-violettes-3000054047393?t=1892, Asperges violettes ,https://media.carrefour.fr/medias/6605ad93930233cc99c88932c519cdf6/p_200x200/3523680430952-photosite-20190830-142649-0.jpg, FRANCE ," 5,90 ", 11.80 € / KG ,
https://www.carrefour.fr/p/asperges-violettes-3000055037140?t=1892, Asperges violettes ,https://media.carrefour.fr/medias/6605ad93930233cc99c88932c519cdf6/p_200x200/3523680430952-photosite-20190830-142649-0.jpg, FRANCE ," 6,90 ", 6.90 € / KG ,
