code	producer_product_id	producer_version_id	lc	product_name_de	product_name_en	product_name_es	product_name_fr	product_name_it	product_name_nl	product_name_pl	product_name_sv	abbreviated_product_name_fr	generic_name_de	generic_name_en	generic_name_es	generic_name_fr	generic_name_it	generic_name_nl	quantity	serving_size	packaging	packaging_tags	brands	brands_tags	categories	categories_tags	labels	labels_tags	countries	countries_tags	stores	stores_tags	obsolete	obsolete_since_date	origins	origins_tags	origin_es	origin_fr	origin_nl	manufacturing_places	manufacturing_places_tags	producer_es	producer_fr	emb_codes	emb_codes_tags	ingredients_text_de	ingredients_text_en	ingredients_text_es	ingredients_text_fr	ingredients_text_it	ingredients_text_nl	ingredients_text_pl	allergens	allergens_tags	traces	traces_tags	no_nutrition_data	nutrition_data_per	nutrition_data_prepared_per	energy-kj_value	energy-kj_unit	energy-kcal_value	energy-kcal_unit	fat_value	fat_unit	saturated-fat_value	saturated-fat_unit	carbohydrates_value	carbohydrates_unit	sugars_value	sugars_unit	fiber_value	fiber_unit	proteins_value	proteins_unit	salt_value	salt_unit	sodium_value	sodium_unit	alcohol_value	alcohol_unit	energy_value	energy_unit	omega-3-fat_value	omega-3-fat_unit	alpha-linolenic-acid_value	alpha-linolenic-acid_unit	eicosapentaenoic-acid_value	eicosapentaenoic-acid_unit	cholesterol_value	cholesterol_unit	starch_value	starch_unit	vitamin-a_value	vitamin-a_unit	beta-carotene_value	beta-carotene_unit	vitamin-e_value	vitamin-e_unit	vitamin-k_value	vitamin-k_unit	vitamin-c_value	vitamin-c_unit	vitamin-b9_value	vitamin-b9_unit	potassium_value	potassium_unit	calcium_value	calcium_unit	phosphorus_value	phosphorus_unit	iron_value	iron_unit	magnesium_value	magnesium_unit	manganese_value	manganese_unit	fruits-vegetables-nuts_value	fruits-vegetables-nuts_unit	fruits-vegetables-nuts-estimate_value	fruits-vegetables-nuts-estimate_unit	packaging_1_number_of_units	packaging_1_shape	packaging_1_material	packaging_1_recycling	packaging_1_quantity_per_unit	packaging_1_weight_specified	packaging_1_weight_measured	packaging_2_number_of_units	packaging_2_shape	packaging_2_material	packaging_2_recycling	packaging_2_quantity_per_unit	packaging_2_weight_specified	packaging_2_weight_measured	packaging_3_number_of_units	packaging_3_shape	packaging_3_material	packaging_3_recycling	packaging_3_quantity_per_unit	packaging_3_weight_specified	packaging_3_weight_measured	packaging_4_number_of_units	packaging_4_shape	packaging_4_material	packaging_4_weight_specified	conservation_conditions_es	conservation_conditions_fr	conservation_conditions_it	conservation_conditions_nl	warning_es	warning_fr	warning_it	warning_nl	preparation_es	preparation_fr	preparation_it	preparation_nl	nutriscore_grade_producer	recipe_idea_fr	customer_service_es	customer_service_fr	customer_service_it	customer_service_nl	link	off:food_groups	off:food_groups_tags	off:nova_groups	off:nova_groups_tags	off:nutriscore_grade	off:nutriscore_score	off:ecoscore_grade	off:ecoscore_data.missing_key_data	off:ecoscore_data.adjustments.origins_of_ingredients.value	off:ecoscore_data.adjustments.packaging.value	off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials	off:ecoscore_data.adjustments.production_system.value	sources_fields:org-gs1:gln	sources_fields:org-gs1:gpcCategoryCode	sources_fields:org-gs1:gpcCategoryName	sources_fields:org-gs1:isAllergenRelevantDataProvided	sources_fields:org-gs1:lastChangeDateTime	sources_fields:org-gs1:partyName	sources_fields:org-gs1:productionVariantDescription	sources_fields:org-gs1:publicationDateTime	data_sources
0203374008867			fr				Concombre nature																		"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Légumes et dérivés, Frais, Aliments à base de plantes frais, Légumes frais, Concombres"	en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:vegetables-based-foods,en:fresh-foods,en:fresh-plant-based-foods,en:fresh-vegetables,en:cucumbers	Point Vert	en:green-dot	France	en:france			0																									100g	100g			11	kcal	0		0		1.5		1.4				0.6		0.02		0.008	g			11	kcal																																																																																			en:vegetables	en:fruits-and-vegetables,en:vegetables		unknown	a	-5	not-applicable	1	-5	-15	1	0									App - yuka, Apps
3613460009031			fr				Jeunes pousses d'épinard												125 g						"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Légumes et dérivés, Frais, Aliments à base de plantes frais, Légumes-feuilles, Légumes frais, Épinards, Épinards frais, en:raw-spinach-young-leaves"	en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:vegetables-based-foods,en:fresh-foods,en:fresh-plant-based-foods,en:leaf-vegetables,en:fresh-vegetables,en:spinachs,en:fresh-spinachs,en:raw-spinach-young-leaves	Bio, Bio européen, AB Agriculture Biologique	en:organic,en:eu-organic,fr:ab-agriculture-biologique	France	en:france			0																									100g	100g																																																																																																											en:vegetables	en:fruits-and-vegetables,en:vegetables		unknown	unknown		not-applicable	1	-5	-15	1	15									App - yuka, Apps
3613460007907			fr				Pousses épinards Espagne												125 g				Priméale	primeale	"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Légumes et dérivés, Frais, Aliments à base de plantes frais, Légumes-feuilles, Légumes frais, Épinards, Épinards frais, en:raw-spinach-young-leaves"	en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:vegetables-based-foods,en:fresh-foods,en:fresh-plant-based-foods,en:leaf-vegetables,en:fresh-vegetables,en:spinachs,en:fresh-spinachs,en:raw-spinach-young-leaves			France	en:france			0		Espagne	en:spain								EMB 13027Y	emb-13027y												on	100g	100g																																																																																																											en:vegetables	en:fruits-and-vegetables,en:vegetables		unknown	unknown		not-applicable	1	12	-15	1	0									App - yuka, Apps
3613460007600			fr				"Épinards à cuire"												500 g				Priméale	primeale	"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Légumes et dérivés, Frais, Aliments à base de plantes frais, Légumes-feuilles, Légumes frais, Épinards, Épinards frais"	en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:vegetables-based-foods,en:fresh-foods,en:fresh-plant-based-foods,en:leaf-vegetables,en:fresh-vegetables,en:spinachs,en:fresh-spinachs			France	en:france			0		Espagne	en:spain								EMB 13027Y	emb-13027y												on	100g	100g																																																																																																											en:vegetables	en:fruits-and-vegetables,en:vegetables		unknown	unknown		not-applicable	1	12	-15	1	0									App - yuka, Apps
0200324004412			fr				Poivron rouge																		"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Légumes et dérivés, Frais, Aliments à base de plantes frais, Légumes frais, Poivrons, Poivrons rouges, Poivrons frais"	en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:vegetables-based-foods,en:fresh-foods,en:fresh-plant-based-foods,en:fresh-vegetables,en:sweet-peppers,en:red-bell-peppers,en:fresh-sweet-peppers			France	en:france			0																									100g	100g			23	kcal	0.3	g	0	g	5	g	0	g			1.1	g	0.158	g	0.0632	g			23	kcal																																																																																			en:vegetables	en:fruits-and-vegetables,en:vegetables		unknown	a	-5	not-applicable	1	-5	-15	1	0									App - yuka, Apps
0208556011543			fr				Poivrons rouges												0,505 kg				Monoprix	monoprix	"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Légumes et dérivés, Frais, Aliments à base de plantes frais, Légumes frais, Poivrons, Poivrons rouges, Poivrons frais"	en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:vegetables-based-foods,en:fresh-foods,en:fresh-plant-based-foods,en:fresh-vegetables,en:sweet-peppers,en:red-bell-peppers,en:fresh-sweet-peppers			France	en:france	Monoprix	monoprix	0																									100g	100g																																																																																																											en:vegetables	en:fruits-and-vegetables,en:vegetables		unknown	unknown		not-applicable	1	-5	-15	1	0									
3061430009275			fr				Baby Carottes												200 g		Plastique, Sachet	en:plastic,en:bag	"La Ferme à Jules,Les Crudettes"	la-ferme-a-jules,les-crudettes	"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Surgelés, Légumes et dérivés, Frais, Aliments à base de plantes surgelés, Aliments à base de plantes frais, Légumes surgelés, Carottes, Légumes frais, Carottes surgelées, Carottes fraîches, Baby carottes surgelées"	en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:frozen-foods,en:vegetables-based-foods,en:fresh-foods,en:frozen-plant-based-foods,en:fresh-plant-based-foods,en:frozen-vegetables,en:carrots,en:fresh-vegetables,en:frozen-carrots,en:fresh-carrots,en:frozen-baby-carrots	Sans conservateurs, Sans additifs	en:no-preservatives,en:no-additives	France	en:france	Cora	cora	0		France, Pays-Bas	en:france,en:netherlands				France	france								Baby carottes									100g	100g			24	kcal	0.3	g	0	g	6.2	g	3.6	g	3.1	g	0.7	g	0.05	g	0.02	g			24	kcal																																								en:bag	en:plastic																																										en:vegetables	en:fruits-and-vegetables,en:vegetables		unknown	a	-3	not-applicable		17	-10	1	0									App - yuka, Apps
3344090000449			fr				Endives												100 g						"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Légumes et dérivés, Frais, Aliments à base de plantes frais, Légumes-feuilles, Légumes frais, Endives, Endives fraîches, en:chicory"	en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:vegetables-based-foods,en:fresh-foods,en:fresh-plant-based-foods,en:leaf-vegetables,en:fresh-vegetables,en:belgian-endives,en:fresh-belgian-endives,en:chicory			France	en:france			0																									100g	100g			15	kcal	0	g	0	g	2.4	g	0	g			1	g							15	kcal																																																																																			en:vegetables	en:fruits-and-vegetables,en:vegetables		unknown	unknown		not-applicable	1	-5	-15	1	0									App - yuka, Apps
3521230003687			fr				Oignon												500 g						"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Condiments, Aliments à base de fruits et de légumes, Plantes condimentaires, Légumes et dérivés, Frais, Aliments à base de plantes frais, Oignons et dérivés, Légumes frais, Oignons, Oignons frais, en:groceries"	en:plant-based-foods-and-beverages,en:plant-based-foods,en:condiments,en:fruits-and-vegetables-based-foods,en:culinary-plants,en:vegetables-based-foods,en:fresh-foods,en:fresh-plant-based-foods,en:onions-and-their-products,en:fresh-vegetables,en:onions,en:fresh-onions,en:groceries			France	en:france			0																									100g	100g																																																																																																											en:vegetables	en:fruits-and-vegetables,en:vegetables		unknown	unknown		not-applicable	1	-5	-15	1	0									App - yuka, Apps
3413930060209			fr				Blanc de poireaux												300 g		Plastique, Sachet, Barquette	en:plastic,en:bag,en:tray	Riou Bio	riou-bio	"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Légumes et dérivés, Frais, Légumes tiges, Aliments à base de plantes frais, Légumes frais, Poireaux, Poireaux frais, Blancs de poireaux"	en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:vegetables-based-foods,en:fresh-foods,en:vegetable-rods,en:fresh-plant-based-foods,en:fresh-vegetables,en:leeks,en:fresh-leeks,fr:blancs-de-poireaux	Bio, Bio européen, Catégorie II, FR-BIO-01, AB Agriculture Biologique	en:organic,en:eu-organic,en:class-ii,en:fr-bio-01,fr:ab-agriculture-biologique	France	en:france			0		France	en:france													Blanc de poireaux								on	100g	100g																																																																en:tray	en:plastic						en:bag																																				en:vegetables	en:fruits-and-vegetables,en:vegetables		unknown	unknown		not-applicable		19	-15	1	15									
